source_id,source_type,title,provider,authority_tier,source_url,scope,adoption_status,download_strategy,rights_status,risk_note,review_status,updated_at
src-xiaoxuetang-jiaguwen,online_database,小學堂甲骨文資料庫 / Xiaoxuetang Oracle Bone Script Database,Academia Sinica,core_institutional,https://xiaoxue.iis.sinica.edu.tw/jiaguwen,Oracle character heads and glyph forms based mainly on Jiaguwen Bian; current landing page reports 2548 character heads and 24701 forms.,adopted_core,Use as the primary external character reference system; download only metadata/derived records unless asset rights are reviewed.,metadata_only_until_verified,Official academic database; automated downloads may be restricted and raw glyph images require source and rights review.,reviewed,2026-06-04
src-xiaoxuetang-obm,online_database,甲骨文合集材料來源表 / Source Table for Collection of Oracle Bone Inscriptions,Academia Sinica,core_institutional,https://xiaoxue.iis.sinica.edu.tw/obm,Heji material source table based on the 1999 printed source table; covers Heji plate/material source references.,adopted_core,Use for inscription/plate provenance; download small documentation and derived metadata only.,metadata_only_until_verified,Official source table; Heji identifiers are plate/material references and not universal character IDs.,reviewed,2026-06-04
src-ihp-oracle-rubbings,online_database,Oracle Bones Rubbings Database,Fu Ssu Nien Library / Institute of History and Philology Academia Sinica,core_institutional,https://dap.ihp.sinica.edu.tw/en/database/3/,Oracle bone rubbings held by IHP; overview reports over 40000 rubbings and 21556 digitized records searchable.,adopted_core,Use for rubbing/image provenance and collection-number links; do not bulk download raw images before rights review.,metadata_only_until_verified,Official collection database with explicit site policy; raw image reuse requires policy review.,reviewed,2026-06-04
src-ihp-museum-oracle-bones,museum_collection,Oracle Bones Collection Page,Museum of the Institute of History and Philology Academia Sinica,core_institutional,https://museum.sinica.edu.tw/en/collection/32/,Museum collection overview and selected oracle bone artifacts with catalog-style labels.,adopted_core,Use as museum provenance and sample artifact reference; download only small metadata unless image rights are reviewed.,metadata_only_until_verified,Official museum page; image reuse requires museum policy review.,reviewed,2026-06-04
src-yinqi-wenyuan,online_database,殷契文渊 / Oracle Bones Corpus,Key Laboratory of Oracle Bone Inscriptions Information Processing Anyang Normal University; CASS Oracle Studies Center,scholarly_platform,https://jgw.aynu.edu.cn/,"Integrated oracle-bone platform with glyph, catalog, literature and knowledge-service sections.",adopted_core_with_rights_caution,Adopt as a professional discovery and cross-reference source; do not bulk download documents/images because the site disclaimer reports mixed third-party material.,source_marked_risk_noted,"Professional and important platform, but rights status is mixed; use metadata and cross-check against institutional/catalog sources.",reviewed,2026-06-04
src-obid-ancientbooks,online_database,殷墟甲骨文数据库 / Yinxu Oracle Bone Inscriptions Database,浙江师范大学; 陈年福教授; 古联（北京）数字传媒科技有限公司,scholarly_commercial_platform,https://obid.ancientbooks.cn/,"Professional database with inscription browsing, transcription search, original text search, oracle dictionary functions and many catalog-source abbreviations.",adopted_professional_discovery_with_rights_caution,Use as a professional discovery and cross-reference source; register stable catalog abbreviations and do not bulk copy paywalled/raw assets.,source_marked_risk_noted,Professional/editorial source but commercial platform; access and redistribution rights require visible caution.,reviewed,2026-06-04
src-tsinghua-oracle-bones,library_collection,Tsinghua University Library Oracle Bones Collection,Tsinghua University Library,university_library_collection,https://lib.tsinghua.edu.cn/en/info/1021/1442.htm,Official collection overview reporting over 1750 oracle bones and 1495 inscribed pieces; includes provenance through Hu Houxuan/Yu Shengwu/Chen Mengjia and UNESCO Memory context.,adopted_collection_reference,Use for collection-level provenance and institutional source trail; download page metadata only unless image rights are reviewed.,metadata_only_until_verified,Official library page; not a full searchable corpus endpoint by itself.,reviewed,2026-06-04
src-cambridge-hopkins,library_collection,Hopkins Collection of Chinese Oracle Bones Finding List,Cambridge University Library,university_library_collection,https://www.lib.cam.ac.uk/collections/departments/chinese-collections/chinese-collections-te-cang-yu-zhuan-cang/finding-list,"Finding list for the Hopkins Collection with period/topic table and cross-references to CUL numbers, Chalfant, Heji and Yingguo suo cang jiagu ji references.",adopted_collection_reference,Use for British/Cambridge provenance crosswalks and external reference mapping; download page metadata only unless asset rights are reviewed.,metadata_only_until_verified,Official university library finding list; linked digitized assets require separate rights and IIIF review.,reviewed,2026-06-04
src-british-museum-oracle-bone,museum_collection,British Museum oracle-bone object record OA+.165,British Museum,museum_collection,https://www.britishmuseum.org/collection/object/A_OA-165,"Official museum object record for oracle-bone fragments with museum number, registration number, period, material, acquisition and department fields.",adopted_collection_reference,Use as a museum-object ID pattern and sample provenance reference; do not assume comprehensive oracle-bone corpus coverage.,metadata_only_until_verified,Official museum collection record; image/licensing policies require object-level review.,reviewed,2026-06-04
src-smithsonian-nmaa-oracle-bone,museum_collection,Smithsonian National Museum of Asian Art oracle bone object records,Smithsonian National Museum of Asian Art,national_museum_collection,https://asia-archive.si.edu/object/FSC-O-26,"Official Smithsonian/NMAA oracle-bone object records with accession number, provenance notes, IIIF image access and CC0 rights statement; FSC-O-26 archive page is currently script-downloadable while the current si.edu object page may require browser verification.",adopted_public_domain_sample_source,Use as a public-domain sample source for asset metadata and IIIF workflow testing; still record object-level provenance and access boundary per object.,public_domain_verified,"Smithsonian/NMAA archive page marks FSC-O-26 image/media as CC0, but current si.edu pages may use request verification and object details may be revised.",reviewed,2026-06-05
src-hust-obc,open_research_dataset,HUST-OBC: An open dataset for oracle bone character recognition and decipherment,Huazhong University of Science and Technology research team / Scientific Data,peer_reviewed_dataset,https://www.nature.com/articles/s41597-024-03807-x,Scientific Data dataset with 77064 images of 1588 deciphered characters and 62989 images of 9411 undeciphered characters; total 140053 images.,candidate_large_source,Register as large source package; do not commit raw dataset; extract indexes and derived metadata after license/source review.,source_marked_risk_noted,"Dataset is directly relevant to 1500+ deciphered and undeciphered characters, but raw images are large, non-commercially licensed and compiled from diverse sources including an unreliable GuoXueDaShi split.",reviewed,2026-06-04
src-obimd,open_research_dataset,OBIMD: Oracle Bone Inscriptions Multi-modal Dataset,Key Laboratory of Oracle Bone Inscriptions Information Processing Anyang Normal University; Xiamen University; Tencent Youtu Lab; University of Cambridge; Scientific Data,peer_reviewed_dataset,https://www.nature.com/articles/s41597-026-06967-0,"Multi-modal OBI dataset with 10077 oracle bone images, 93652 annotated characters, 21941 syntactically validated sentences, and reading sequences.",candidate_large_source,Download dataset card and code README; do not bulk download raw images before source/rights/size review.,licensed_for_repository,Dataset card reports CC-BY 4.0 while the GitHub README includes narrower academic-use wording; raw files remain large and need rights review before import.,reviewed,2026-06-04
src-open-oracle,project_repository,Open-Oracle project repository,Yuliang Liu research group,scholarly_project,https://github.com/Yuliang-Liu/Open-Oracle,"Project hub linking HUST-OBC, EVOBC, OBSD and related oracle-bone AI research resources.",adopted_project_index,Use as a reviewed project index for datasets/methods/task framing; do not treat as primary paleographic authority by itself.,source_marked_risk_noted,Useful for locating academic datasets and AI task strategies; underlying dataset rights and source chains must be reviewed separately.,reviewed,2026-06-04
src-evobc,open_research_dataset,EVOBC: Evolution Oracle Bone Characters Dataset,Yuliang Liu research group / arXiv / Open-Oracle,peer_reviewed_or_preprint_dataset,https://arxiv.org/abs/2401.12467,Large evolution dataset reported with 229170 images and 13714 character categories across six historical stages from oracle bone characters through clerical script.,candidate_evolution_source,Register as a candidate evolution-chain source; review linked dataset files and source chains before importing raw images.,source_marked_risk_noted,"Useful for evolution-chain experiments, but source texts/websites and image rights need separate review before corpus import.",reviewed,2026-06-04
src-oracle-mnist,open_research_dataset,Oracle-MNIST dataset,Published research team / GitHub / Figshare / Science Data Bank,peer_reviewed_dataset,https://github.com/wm-bupt/oracle-mnist,Small benchmark dataset of oracle character images for machine learning; not a comprehensive decipherment corpus.,candidate_ai_benchmark,Register for AI benchmarking only; do not use as source of scholarly decipherment claims.,source_marked_risk_noted,Useful for recognition tests but too narrow for corpus construction.,reviewed,2026-06-04
src-gbedobc,open_research_dataset,GBEDOBC graph-based evolutionary dataset,Qingju Jiao et al. / npj Heritage Science / GitHub,peer_reviewed_dataset,https://github.com/BrisksHan/GBEDOBC,Graph-based evolutionary dataset linking oracle bone characters to later scripts.,candidate_evolution_source,Register as a candidate for graph/evolution-chain experiments; review data fields and rights before import.,source_marked_risk_noted,"Useful for graph/evolution research and reports 756 groups/3780 graph-based characters, but not a primary corpus authority.",reviewed,2026-06-04
src-nlc-oracle-world,library_database,甲骨世界 / Oracle Bones Database,National Library of China / Chinese Ancient Books Resource Platform,national_library,https://www.nlc.cn/,"National Library of China oracle-bone holdings and Oracle World database evidence from official NLC PDFs; current notes report NLC holdings of 35651 oracle bones and Oracle World records for oracle-bone objects, images, rubbings and rubbing images.",candidate_institutional_official_scope_confirmed,Use as an official national-library collection and database-scope source; keep record import metadata-only until a stable current query endpoint and item-level access rules are confirmed.,metadata_only_until_verified,Official NLC materials confirm collection/database scope but not a stable current bulk endpoint; do not use mirrored summaries or third-party portals as source data.,reviewed,2026-06-05
