checklist_item_id,capture_row_id,check_key,source_id,primary_external_ref_id,target_evidence_section,check_status,review_status,evidence_collection_status,download_log_evidence_status,checksum_review_status,size_review_status,access_review_status,rights_decision_status,source_promotion_status,decipherment_claim_status,source_download_log_path,capture_scaffold_path,note_draft_path,route_files_to_open,required_review_checks,instruction,instruction_zh,updated_at,research_boundary,output_scope,caution
graph-source-evidence-download-log-check-001,graph-source-evidence-download-log-capture-001,open_capture_row,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the 035 download-log capture row before editing any download-log evidence fields.,先打开 035 下载日志 capture row，再编辑任何下载日志证据字段。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-002,graph-source-evidence-download-log-capture-001,open_download_log_row,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the cited download-log row and verify source_id before copying evidence.,打开被引用的下载日志行，并在复制证据前核对 source_id。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-003,graph-source-evidence-download-log-capture-001,verify_download_id_and_url,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Copy download_id and URL only from the download log; leave evidence blank if no matching row is found.,download_id 和 URL 只能从下载日志复制；未找到匹配行时保持证据字段空白。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-004,graph-source-evidence-download-log-capture-001,verify_download_and_http_status,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Record download status and HTTP status only from the download log, not from memory or route labels.",下载状态和 HTTP 状态只能从下载日志记录，不得凭记忆或 route 标签填写。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-005,graph-source-evidence-download-log-capture-001,verify_file_size,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Record file size only from the download log and keep size_review_status not_started until reviewed.,文件大小只能从下载日志记录，并在复核前保持 size_review_status 为 not_started。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-006,graph-source-evidence-download-log-capture-001,verify_checksum,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Record checksum only from the download log and keep checksum_review_status not_started until reviewed.,checksum 只能从下载日志记录，并在复核前保持 checksum_review_status 为 not_started。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-007,graph-source-evidence-download-log-capture-001,verify_local_temp_path_and_risk,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Verify local temp path and risk note from the download log; temporary files must stay in ignored directories.,从下载日志核对本地临时路径和风险说明；临时文件必须留在已忽略目录。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-008,graph-source-evidence-download-log-capture-001,block_rights_inference,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Do not infer rights status from download success, HTTP status, file size, checksum, or local file presence.",不得从下载成功、HTTP 状态、文件大小、checksum 或本地文件存在推断权利状态。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-009,graph-source-evidence-download-log-capture-001,block_source_promotion,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Do not promote the source, staging row, graph edge, component relation, or evolution relation from this checklist.",不得从本 checklist 提升来源、staging row、图谱边、构件关系或演化关系。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-010,graph-source-evidence-download-log-capture-001,block_decipherment_claim,src-hust-obc,hust-obc-cat-0001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/hust-obc/graph-source-evidence-task-002_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Do not write a decipherment claim or AI hypothesis as scholarship from this checklist.,不得从本 checklist 写入释读声明，也不得把 AI 假说写成学术结论。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-011,graph-source-evidence-download-log-capture-002,open_capture_row,src-evobc,evobc-cat-00001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the 035 download-log capture row before editing any download-log evidence fields.,先打开 035 下载日志 capture row，再编辑任何下载日志证据字段。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-012,graph-source-evidence-download-log-capture-002,open_download_log_row,src-evobc,evobc-cat-00001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Open the cited download-log row and verify source_id before copying evidence.,打开被引用的下载日志行，并在复制证据前核对 source_id。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-013,graph-source-evidence-download-log-capture-002,verify_download_id_and_url,src-evobc,evobc-cat-00001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,Copy download_id and URL only from the download log; leave evidence blank if no matching row is found.,download_id 和 URL 只能从下载日志复制；未找到匹配行时保持证据字段空白。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
graph-source-evidence-download-log-check-014,graph-source-evidence-download-log-capture-002,verify_download_and_http_status,src-evobc,evobc-cat-00001,download_log,not_started,needs_download_log_capture_review,not_collected,not_collected,not_started,not_started,not_started,not_decided,not_promoted,no_claim,project_registry/006_large-source-register/002_source-download-log.csv,corpus/009_statistics-and-derived-features/035_ai-agent-graph-source-download-log-evidence-capture-scaffold.csv,doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md,corpus/009_statistics-and-derived-features/026_ai-agent-graph-source-evidence-collection-route-pack.json;corpus/009_statistics-and-derived-features/018_ai-agent-graph-source-download-log-note-draft-manifest.csv;corpus/009_statistics-and-derived-features/016_ai-agent-graph-source-evidence-collection-task-queue.csv;doc/public/user_research/003_evidence-collection-tasks/evobc/graph-source-evidence-task-011_download-log_collection-note.md;project_registry/006_large-source-register/002_source-download-log.csv,open_download_log_before_recording_access_or_checksum_status;do_not_infer_rights_from_download_success;keep_result_row_not_collected_until_evidence_is_source_marked;do_not_write_ai_hypothesis_as_scholarship,"Record download status and HTTP status only from the download log, not from memory or route labels.",下载状态和 HTTP 状态只能从下载日志记录，不得凭记忆或 route 标签填写。,2026-06-10,evidence_collection_download_log_capture_review_checklist_not_scholarship,graph_source_evidence_collection_download_log_capture_review_checklist_only,"Checklist item only. It does not contain collected evidence, a checksum review, a size review, an access review, a rights decision, source promotion, component or evolution-chain assignment, or decipherment conclusion."
